"Категория 1","Категория 2","Категория 3","Категория 4","Категория 5","Товар","Бренд","Артикул","pdf","Наличие","Фото 1","Фото 2","Фото 3","Описание","Входное напряжение","Выходное напряжение","Выходной ток","Исполнение","Нагрузка","Тип (серия)","Материал корпуса","Максимальное напряжение","Степень защиты","Аксессуары","Количество педалей","Защитный кожух","Со встроенным радиатором","Со встроенным предохранителем","Реверсивные","Для коммутации постоянного тока","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 90-280VAC/DC, GN-10A","Crouzet","84137001","841370(71)00(01-81).pdf","","84137001(1)","84137000(2)","","<p>
         Однофазное твердотельное реле постоянного и переменного тока GN-10A (CROUZET), 90-280 VAC/DC | 24-280VAC. Серия GN. Электронное бесконтактное устройство, предназначенное для коммутации электрических цепей. При высоких нагрузках тока, рекомендуется использовать радиатор, либо обеспечить надлежащее охлаждение.</p>
<ul>
        <li>
                Ток нагрузки: 10А;</li>
        <li>
                Габариты (ШхВхГ), мм: 30,6 x 60,2 x 32;</li>
        <li>
                Вес (kg): 0,114;</li>
        <li>
                Индикатор состояния LED;</li>
        <li>
                Степень защиты IP20;</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","90-280VAC/DC","24-280VAC","10А","на винты","однофазная","","","","","","","","","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 4-32VDC, GN-25A","Crouzet","84137010","841370(71)00(01-81).pdf","","84137010(1)","84137000(2)","","<p>
         Однофазное твердотельное реле постоянного тока GN-25A (CROUZET), 4-32VDC | 24-280VAC. Серия GN. Электронное бесконтактное устройство, предназначенное для коммутации электрических цепей. При высоких нагрузках тока, рекомендуется использовать радиатор, либо обеспечить надлежащее охлаждение.</p>
<ul>
        <li>
                Ток нагрузки: 25А;</li>
        <li>
                Габариты (ШхВхГ), мм: 30,6 x 60,2 x 32;</li>
        <li>
                Вес (kg): 0,114;</li>
        <li>
                Индикатор состояния LED;</li>
        <li>
                Степень защиты IP20;</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","4-32VDC","24-280VAC","25А","на винты","однофазная","","","","","","","","","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 90-280VAC/DC, GN-25A","Crouzet","84137011","841370(71)00(01-81).pdf","","84137011(1)","84137000(2)","","<p>
        Однофазное твердотельное реле постоянного и переменного тока GN-25A (CROUZET), 90-280 VAC/DC | 24-280VAC. Серия GN. Электронное бесконтактное устройство, предназначенное для коммутации электрических цепей. При высоких нагрузках тока, рекомендуется использовать радиатор, либо обеспечить надлежащее охлаждение.</p>
<ul>
        <li>
                Ток нагрузки: 25А;</li>
        <li>
                Габариты (ШхВхГ), мм: 30,6 x 60,2 x 32;</li>
        <li>
                Вес (kg): 0,114;</li>
        <li>
                Индикатор состояния LED;</li>
        <li>
                Степень защиты IP20;</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","90-280VAC/DC","24-280VAC","25А","на винты","однофазная","","","","","","","","","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 4-32VDC, GN-50A ","Crouzet","84137120","841370(71)00(01-81).pdf","","84137120(1)","84137000(2)","","<p>
         Однофазное твердотельное реле постоянного тока GN-10A (CROUZET), 4-32VDC | 48-660VAC. Серия GN. Электронное бесконтактное устройство, предназначенное для коммутации электрических цепей. При высоких нагрузках тока, рекомендуется использовать радиатор, либо обеспечить надлежащее охлаждение.</p>
<ul>
        <li>
                Ток нагрузки: 50А;</li>
        <li>
                Габариты (ШхВхГ), мм: 30,6 x 60,2 x 32;</li>
        <li>
                Вес (kg): 0,114;</li>
        <li>
                Индикатор состояния LED;</li>
        <li>
                Степень защиты IP20;</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","4-32VDC","48-660VAC","50А","на винты","однофазная","","","","","","","","","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 90-280VAC/DC, GN-50A","Crouzet","84137121","841370(71)00(01-81).pdf","","84137121(1)","84137000(2)","","<p>
        Однофазное твердотельное реле постоянного и переменного тока GN-50A (CROUZET), 90-280 VAC/DC | 48-660VAC. Серия GN. Электронное бесконтактное устройство, предназначенное для коммутации электрических цепей. При высоких нагрузках тока, рекомендуется использовать радиатор, либо обеспечить надлежащее охлаждение.</p>
<ul>
        <li>
                Ток нагрузки: 50А;</li>
        <li>
                Габариты (ШхВхГ), мм: 30,6 x 60,2 x 32;</li>
        <li>
                Вес (kg): 0,114;</li>
        <li>
                Индикатор состояния LED;</li>
        <li>
                Степень защиты IP20;</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","90-280VAC/DC","48-660VAC","50А","на винты","однофазная","","","","","","","","","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 4-32VDC, GN-75A","Crouzet","84137130","841370(71)00(01-81).pdf","","84137130(1)","84137000(2)","","<p>
         Однофазное твердотельное реле постоянного тока GN-75A (CROUZET), 4-32VDC | 48-660VAC. Серия GN. Электронное бесконтактное устройство, предназначенное для коммутации электрических цепей. При высоких нагрузках тока, рекомендуется использовать радиатор, либо обеспечить надлежащее охлаждение.</p>
<ul>
        <li>
                Ток нагрузки: 75А;</li>
        <li>
                Габариты (ШхВхГ), мм: 30,6 x 60,2 x 32;</li>
        <li>
                Вес (kg): 0,114;</li>
        <li>
                Индикатор состояния LED;</li>
        <li>
                Степень защиты IP20;</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","4-32VDC","48-660VAC","75А","на винты","однофазная","","","","","","","","","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 90-280VAC/DC, GN-75A","Crouzet","84137131","841370(71)00(01-81).pdf","","84137131(1)","84137000(2)","","<p>
        Однофазное твердотельное реле постоянного и переменного тока GN-75A (CROUZET), 90-280 VAC/DC | 48-660VAC. Серия GN. Электронное бесконтактное устройство, предназначенное для коммутации электрических цепей. При высоких нагрузках тока, рекомендуется использовать радиатор, либо обеспечить надлежащее охлаждение.</p>
<ul>
        <li>
                Ток нагрузки: 75А;</li>
        <li>
                Габариты (ШхВхГ), мм: 30,6 x 60,2 x 32;</li>
        <li>
                Вес (kg): 0,114;</li>
        <li>
                Индикатор состояния LED;</li>
        <li>
                Степень защиты IP20;</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","90-280VAC/DC","48-660VAC","75А","на винты","однофазная","","","","","","","","","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 4-32VDC, GN-100A","Crouzet","84137140","841370(71)00(01-81).pdf","","84137140(1)","84137000(2)","","<p>
         Однофазное твердотельное реле постоянного тока GN-100A (CROUZET), 4-32VDC | 48-660VAC. Серия GN. Электронное бесконтактное устройство, предназначенное для коммутации электрических цепей. При высоких нагрузках тока, рекомендуется использовать радиатор, либо обеспечить надлежащее охлаждение.</p>
<ul>
        <li>
                Ток нагрузки: 100А;</li>
        <li>
                Габариты (ШхВхГ), мм: 30,6 x 60,2 x 32;</li>
        <li>
                Вес (kg): 0,114;</li>
        <li>
                Индикатор состояния LED;</li>
        <li>
                Степень защиты IP20;</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","4-32VDC","48-660VAC","100А","на винты","однофазная","","","","","","","","","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 90-280VAC/DC, GN-100A ","Crouzet","84137141","841370(71)00(01-81).pdf","","84137140(1)","84137000(2)","","<p>
        Однофазное твердотельное реле постоянного и переменного тока GN-100A (CROUZET), 90-280 VAC/DC | 48-660VAC. Серия GN. Электронное бесконтактное устройство, предназначенное для коммутации электрических цепей. При высоких нагрузках тока, рекомендуется использовать радиатор, либо обеспечить надлежащее охлаждение.</p>
<ul>
        <li>
                Ток нагрузки: 100А;</li>
        <li>
                Габариты (ШхВхГ), мм: 30,6 x 60,2 x 32;</li>
        <li>
                Вес (kg): 0,114;</li>
        <li>
                Индикатор состояния LED;</li>
        <li>
                Степень защиты IP20;</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","90-280VAC/DC","48-660VAC","100А","на винты","однофазная","","","","","","","","","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 4-32VDC, GN-125A ","Crouzet","84137180","841370(71)00(01-81).pdf","","84137180(1)","84137000(2)","","<p>
         Однофазное твердотельное реле постоянного тока GN-125A (CROUZET), 4-32VDC | 48-660VAC. Серия GN. Электронное бесконтактное устройство, предназначенное для коммутации электрических цепей. При высоких нагрузках тока, рекомендуется использовать радиатор, либо обеспечить надлежащее охлаждение.</p>
<ul>
        <li>
                Ток нагрузки: 125А;</li>
        <li>
                Габариты (ШхВхГ), мм: 30,6 x 60,2 x 32;</li>
        <li>
                Вес (kg): 0,114;</li>
        <li>
                Индикатор состояния LED;</li>
        <li>
                Степень защиты IP20;</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","4-32VDC","48-660VAC","125А","на винты","однофазная","","","","","","","","","","","","","",""
