Категория 1;Категория 2;Категория 3;Категория 4;Товар;Бренд;Артикул завод;Корпус;;Диаметр индуктивного датчика;;;;;Рабочий диапазон мм.;;;;;Тип монтажа;;Тип выходного сигнала;;;;Функция контакта;;;Присоединение;;Питание индуктивных датчиков;;Количество фаз;;Ток;;;;;;;;;;;;;;;;;;;;;;;;;;;;Вход;;;;Выход;;;;;;;Со встроенным радиатором;Реверсивные;Для коммутации постоянного тока;Аксессуары;;;Диамер разъёма;;Длина кабеля;;;;;;;Типа разъёма;;Диаметры и тип переходника;;;Количество pin;;;;Конфигурация;;Вид монтажа;;Цена;Наличие;Доставка;Фото;Datasheet;;;;;;
;;;;;;;Цилиндрический;Прямоугольный;М3…М6,5;М8;М12;М18;М30;0,6…1,5;2…4;5…8;10…16;20…40;Скрытый (заподлицо);Выступающий;PNP;NPN;2-х проводной;SCR (тиристор);Нормально закрытый (NC);Нормально открытый (NO);NO+NC;Кабель;Разъём;Постоянный ток;Переменный ток;Однофазные;Трехфазные;1А;2А;3А;5А;10А;15А;25А;30А;35А;40А;45А;50А;60А;75А;80А;100А;120А;125А;150А;200А;250А;300А;350А;400А;450А;500А;550А;600 - 1000А;3-32VDC;4-32VDC;24-265VAC/24-190VAC;90-280VAC;240VAC;280VAC;440VAC;480VAC;530VAC;600VAC;660VAC;Да;Да;Да;Термопроводные прокладки;Клипсы на дин-рейку;Радиаторы;М8;М12;0,6М;1М;2М;3М;5М;10М;15М;Штекер (папа);Гнездо (мама);М12(штекер)-М12(гнездо);М8(штекер)-М8(гнездо);М8(штекер)-М12(гнездо);3pin;4pin;5pin;8pin;Прямые;Угловые;Под винты;Под гайку;;;;;;;;;;;
Автоматика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные датчики, специальные датчики и системы;;Система машинного зрения AV6010;Datalogic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные датчики, специальные датчики и системы;;Система машинного зрения Data VS1 Vision Sensor;Datalogic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные датчики, специальные датчики и системы;;Система машинного зрения Matrix 210;Datalogic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные датчики, специальные датчики и системы;;Система машинного зрения Matrix 300;Datalogic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные датчики, специальные датчики и системы;;Система машинного зрения Matrix 410;Datalogic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные датчики, специальные датчики и системы;;Система машинного зрения Matrix 450;Datalogic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные датчики, специальные датчики и системы;;Система машинного зрения NVS9000 ;Datalogic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные датчики, специальные датчики и системы;;Система машинного зрения PowerScan D8590;Datalogic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные датчики, специальные датчики и системы;;Система машинного зрения TC1200;Datalogic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные блоки питания Блоки питания на дин-рейку Импульсные блоки питания;;Блок питания 6EP1 337-3BA00;Siemens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные блоки питания Блоки питания на дин-рейку Импульсные блоки питания;;Блок питания 6EP1 233-1AA00  =24 B/6.0 A ;Siemens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные блоки питания Блоки питания на дин-рейку Импульсные блоки питания;;Блок питания =24 B/2.5 A 6EP1 232-1AA00;Siemens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные блоки питания Блоки питания на дин-рейку Импульсные блоки питания;;Блок питания 6EP1 311-1SH02;Siemens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные блоки питания Блоки питания на дин-рейку Импульсные блоки питания;;Блок питания 6EP1 321-1SH02;Siemens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные блоки питания Блоки питания на дин-рейку Импульсные блоки питания;;Блок питания 6EP1 332-1SH42;Siemens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные блоки питания Блоки питания на дин-рейку Импульсные блоки питания;;Блок питания 6EP1 332-1SH51;Siemens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные блоки питания Блоки питания на дин-рейку Импульсные блоки питания;;Блок питания 6EP1 332-2BA10;Siemens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Автоматика;Компоненты для машиностроения, шкафов и панелей управления;Промышленные блоки питания Блоки питания на дин-рейку Импульсные блоки питания;;Блок питания 6EP1 351-1SH02;Siemens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
